usr_id,hashtags,type
373149557,turnbull,HASHTAGS
373149557,libspill,HASHTAGS
373149557,scumo,HASHTAGS
373149557,auspol,HASHTAGS
32201814,auspol,HASHTAGS
373149557,turnbull,HASHTAGS
373149557,libspill,HASHTAGS
373149557,scumo,HASHTAGS
373149557,auspol,HASHTAGS
66385183,akinmeansbusiness,HASHTAGS
66385183,thursdaythoughts,HASHTAGS
66385183,mtnfusion,HASHTAGS
66385183,thursdaymotivation,HASHTAGS
66385183,africainvestmentforum,HASHTAGS
48276110,ulurustatement,HASHTAGS
48276110,qanda,HASHTAGS
166328555,pmlive,HASHTAGS
166328555,qanda,HASHTAGS
35192397,qanda,HASHTAGS
715626890,auspol,HASHTAGS
715626890,qanda,HASHTAGS
485497413,auspol,HASHTAGS
485497413,qldpol,HASHTAGS
1091054502,massshooting,HASHTAGS
1091054502,fearlesswoman,HASHTAGS
1091054502,borderline,HASHTAGS
1091054502,qanda,HASHTAGS
1091054502,thousandoaks,HASHTAGS
4904265235,auspol,HASHTAGS
361128467,pmlive,HASHTAGS
361128467,qanda,HASHTAGS
49579094,qanda,HASHTAGS
373149557,pmlive,HASHTAGS
373149557,qanda,HASHTAGS
1549362066,auspol,HASHTAGS
1549362066,qldpol,HASHTAGS
579761895,marriageequality,HASHTAGS
579761895,yes,HASHTAGS
579761895,qanda,HASHTAGS
579761895,auspol,HASHTAGS
540620541,auspol,HASHTAGS
540620541,libspill,HASHTAGS
773368033,pmlive,HASHTAGS
773368033,qanda,HASHTAGS
2569854282,qanda,HASHTAGS
1336492724,qanda,HASHTAGS
224367809,qanda,HASHTAGS
14273485,qanda,HASHTAGS
14273485,infosec,HASHTAGS
373149557,turnbull,HASHTAGS
373149557,libspill,HASHTAGS
373149557,scumo,HASHTAGS
373149557,auspol,HASHTAGS
146723616,theprojecttv,HASHTAGS
146723616,qanda,HASHTAGS
57555878,apology,HASHTAGS
57555878,greens,HASHTAGS
751327970787110913,murdoch,HASHTAGS
751327970787110913,dickheadfromdixon,HASHTAGS
1695587371,auspol,HASHTAGS
1695587371,qanda,HASHTAGS
529694616,首都大qanda,HASHTAGS
397811354,marriageequality,HASHTAGS
205959901,qanda,HASHTAGS
205959901,auspol,HASHTAGS
2456550114,auspol,HASHTAGS
270679223,qanda,HASHTAGS
270679223,auspol,HASHTAGS
1040358965383639040,ulurustatement,HASHTAGS
827351735370862593,qanda,HASHTAGS
2361655646,qanda,HASHTAGS
924745282310434816,auspol,HASHTAGS
924745282310434816,qldpol,HASHTAGS
715626890,qanda,HASHTAGS
629252211,auspol,HASHTAGS
629252211,qldpol,HASHTAGS
2450621492,qanda,HASHTAGS
2669626553,resolutebjj,HASHTAGS
2669626553,mcgovernacademy,HASHTAGS
2669626553,brazilianjiujitsu,HASHTAGS
2669626553,nogi,HASHTAGS
2669626553,openmat,HASHTAGS
2669626553,6amcrew,HASHTAGS
2669626553,qanda,HASHTAGS
2669626553,submissionwrestling,HASHTAGS
2669626553,oldbakerystudios,HASHTAGS
2669626553,truro,HASHTAGS
48276110,pmlive,HASHTAGS
48276110,qanda,HASHTAGS
2803016864,aussiecrawl,HASHTAGS
2803016864,qanda,HASHTAGS
2803016864,auspol,HASHTAGS
852207218,media,HASHTAGS
852207218,indonesia,HASHTAGS
852207218,westpapua,HASHTAGS
852207218,journalists,HASHTAGS
852207218,auspol,HASHTAGS
852207218,9news,HASHTAGS
852207218,7news,HASHTAGS
852207218,tennews,HASHTAGS
852207218,pmlive,HASHTAGS
852207218,qanda,HASHTAGS
1684100930,qanda,HASHTAGS
570408824,qanda,HASHTAGS
827351735370862593,qanda,HASHTAGS
827351735370862593,auspol,HASHTAGS
114128072,qanda,HASHTAGS
932911346,qanda,HASHTAGS
932911346,libspill,HASHTAGS
1108104595,qanda,HASHTAGS
1108104595,auspol,HASHTAGS
1601937732,qanda,HASHTAGS
158123632,pinktest,HASHTAGS
158123632,nswpol,HASHTAGS
158123632,auspol,HASHTAGS
490097102,auspol,HASHTAGS
158899570,9today,HASHTAGS
2669626553,resolutebjj,HASHTAGS
2669626553,mcgovernacademy,HASHTAGS
2669626553,brazilianjiujitsu,HASHTAGS
2669626553,nogi,HASHTAGS
2669626553,bjjforkids,HASHTAGS
2669626553,kidsbjj,HASHTAGS
2669626553,kidsselfdefence,HASHTAGS
2669626553,resolutekids,HASHTAGS
2669626553,resolutejuniors,HASHTAGS
2669626553,openmat,HASHTAGS
2669626553,sundaycrew,HASHTAGS
2669626553,6amcrew,HASHTAGS
2669626553,qanda,HASHTAGS
1031838709652443136,auspol,HASHTAGS
1031838709652443136,tracksuit,HASHTAGS
1031838709652443136,cockroach,HASHTAGS
751327970787110913,parisagreement,HASHTAGS
751327970787110913,auspol,HASHTAGS
751327970787110913,credlin,HASHTAGS
751327970787110913,pmlive,HASHTAGS
751327970787110913,skynews,HASHTAGS
751327970787110913,qanda,HASHTAGS
2241205392,qanda,HASHTAGS
1108104595,qanda,HASHTAGS
3244869590,auspol,HASHTAGS
397811354,auspol,HASHTAGS
397811354,healthcare,HASHTAGS
42769304,lnp,HASHTAGS
42769304,auspol,HASHTAGS
1669796893,qanda,HASHTAGS
48276110,qanda,HASHTAGS
1644454058,nbn,HASHTAGS
860350797774700544,architecture,HASHTAGS
860350797774700544,greenarchitecture,HASHTAGS
860350797774700544,sustainability,HASHTAGS
860350797774700544,smartcity,HASHTAGS
860350797774700544,smarthome,HASHTAGS
1060608521178353665,qanda,HASHTAGS
1060608521178353665,fiverr,HASHTAGS
625172280,qanda,HASHTAGS
625172280,matteroffact,HASHTAGS
1669796893,qanda,HASHTAGS
506281260,filmmaking,HASHTAGS
506281260,indiefilm,HASHTAGS
506281260,qanda,HASHTAGS
506281260,zombies,HASHTAGS
506281260,featurefilm,HASHTAGS
506281260,amazonprime,HASHTAGS
171047669,newscorp,HASHTAGS
65607720,thisisaustralia,HASHTAGS
65607720,qanda,HASHTAGS
65607720,auspol,HASHTAGS
65607720,wentworthvotes,HASHTAGS
2910955801,الكرك,HASHTAGS
2910955801,الرزاز,HASHTAGS
